line_number,committee_name,filing_form,is_notice,file_number,related_line_number,committee_id,payee_prefix,payee_first_name,payee_middle_name,payee_last_name,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip,filer_first_name,filer_middle_name,filer_last_name,filer_suffix,filer_prefix,candidate_id,candidate_name,candidate_prefix,candidate_first_name,candidate_middle_name,candidate_suffix,candidate_office,candidate_office_state,candidate_office_district,expenditure_description,expenditure_date,expenditure_amount,office_total_ytd,category_code,support_oppose_indicator,notary_sign_date,dissemination_date,candidate_party,most_recent,transaction_id,image_number,entity_type,amendment_indicator,memo_code,memo_text,back_reference_transaction_id,back_reference_schedule_name,load_timestamp
24,SAVE AMERICA FUND,F3X,f,1898078,20,C00732172,,,,AMS Communications,,24 Mandana Circle,,Oakland,CA,94610,Galvin,,Edward,,,H6AZ07105,Hernandez,,Daniel,,,H,AZ,7,Direct Mail,08-05-2025,23175.8,23175.8,6,S,,08-05-2025,DEM,t,SE.4481,2.02507E+17,ORG,A,,,,,03-07-2025 10:13
24,SAVE AMERICA FUND,F3X,f,1898078,22,C00732172,,,,Looks Good Printing,,338 E Tuckey Ln.,,Phoenix,AZ,85012,Galvin,,Edward,,,H6AZ07105,Hernandez,,Daniel,,,H,AZ,7,Barn Signs,11-06-2025,2009.1,47789.9,,S,,11-06-2025,DEM,t,SE.4496,2.02507E+17,ORG,A,,,,,03-07-2025 10:13
24,SAVE AMERICA FUND,F3X,f,1898078,21,C00732172,,,,AMS Communications,,24 Mandana Circle,,Oakland,CA,94610,Galvin,,Edward,,,H6AZ07105,Hernandez,,Daniel,,,H,AZ,7,Direct Mail,21-05-2025,22605,45780.8,,S,,23-05-2025,DEM,t,SE.4493,2.02507E+17,ORG,A,,,,,03-07-2025 10:13
24,"DEFENDING AMERICA PAC, INC.",F3X,f,1898895,9,C00848739,,,,K24 Creative,,3554 Recurve Circle,,Sarasota,FL,34240,Kilgore,,Paul,,,H6PA01181,HARVIE,,ROBERT J,,,H,PA,1,Video Editing,07-04-2025,3800,3800,,O,,05-04-2025,DEM,t,SE.4192,2.02507E+17,ORG,A,,,,,08-07-2025 10:52
24,"DEFENDING AMERICA PAC, INC.",F3X,f,1898895,10,C00848739,,,,Something Else Strategies LLC,,212 Golden Willow Court,,Easley,SC,29642,Kilgore,,Paul,,,H6PA01181,HARVIE,,ROBERT J,,,H,PA,1,Video Editing,07-04-2025,5500,9300,,O,,05-04-2024,DEM,t,SE.4196,2.02507E+17,ORG,A,,,,,08-07-2025 10:52
24,"DEFENDING AMERICA PAC, INC.",F3X,f,1898895,11,C00848739,,,,Torchlight Strategies,,1723 Chesterford Way,,McLean,VA,22101,Kilgore,,Paul,,,H6PA01181,HARVIE,,ROBERT J,,,H,PA,1,Text Messages,07-04-2025,1309.34,10609.34,,O,,05-04-2025,DEM,t,SE.4200,2.02507E+17,ORG,A,,,,,08-07-2025 10:52
24,GOA VICTORY FUND,F3X,f,1899285,16,C00817122,,,,"Audacy Operations, Inc.",,7255 So. Tenaya Way,Suite 100,Las Vegas,NV,89113,Velleco,,John,,,S0UT00165,Lee,,Mike,,,S,UT,,Radio and digital ads,01-09-2022,40000,40000,4,S,,01-09-2022,REP,,SE.5429,2.02507E+17,ORG,C,,,,,09-07-2025 15:47
24,GOA VICTORY FUND,F3X,f,1899285,19,C00817122,,,,"Beasley Media Group, LLC",,2920 Durango Drive S.,,Las Vegas,NV,89117,Velleco,,John,,,S2NV00324,Laxalt,,Adam,,,S,NV,,Radio ads,01-09-2022,109000,446109.03,4,S,,01-09-2022,REP,,SE.5424,2.02507E+17,ORG,C,,,,,09-07-2025 15:47
24,GOA VICTORY FUND,F3X,f,1899285,29,C00817122,,,,McShane LLC,,6950 Obannon Drive,Suite 100,Las Vegas,NV,89117,Velleco,,John,,,H2WA03100,Kent,,Joe,,,H,WA,3,Digital advertising,30-09-2022,20535.08,20535.08,4,S,,30-09-2022,REP,,SE.5448,2.02507E+17,ORG,C,,,,,09-07-2025 15:47
24,GOA VICTORY FUND,F3X,f,1899285,33,C00817122,,,,Votorious LLC,,P.O. Box 998,,Princeton,WV,24740,Velleco,,John,,,S2MO00544,Schmitt,,Eric,,,S,MO,,Robo calls,21-09-2022,2704.72,33386.78,4,S,,01-08-2022,REP,,SE.5726,2.02507E+17,ORG,C,,,,,09-07-2025 15:47
24,GOA VICTORY FUND,F3X,f,1899285,24,C00817122,,,,McShane LLC,,6950 Obannon Drive,Suite 100,Las Vegas,NV,89117,Velleco,,John,,,H2VA07261,Vega,,Yesli,,,H,VA,7,Digital advertising,14-09-2022,21366.3,21366.3,4,S,,16-09-2022,REP,,SE.5439,2.02507E+17,ORG,C,,,,,09-07-2025 15:47
24,GOA VICTORY FUND,F3X,f,1899285,25,C00817122,,,,McShane LLC,,6950 Obannon Drive,Suite 100,Las Vegas,NV,89117,Velleco,,John,,,H4AZ06045,Schweikert,,David,,,H,AZ,1,Digital advertising,14-09-2022,20384.76,20384.76,4,S,,16-09-2022,REP,,SE.5441,2.02507E+17,ORG,C,,,,,09-07-2025 15:47
24,GOA VICTORY FUND,F3X,f,1899285,26,C00817122,,,,McShane LLC,,6950 Obannon Drive,Suite 100,Las Vegas,NV,89117,Velleco,,John,,,H8NM02156,Herrell,,Yvette,,,H,NM,2,Digital advertising,14-09-2022,21681.58,21681.58,4,S,,16-09-2022,REP,,SE.5442,2.02507E+17,ORG,C,,,,,09-07-2025 15:47
24,GOA VICTORY FUND,F3X,f,1899285,27,C00817122,,,,McShane LLC,,6950 Obannon Drive,Suite 100,Las Vegas,NV,89117,Velleco,,John,,,H0FL13158,Paulina Luna,,Anna,,,H,FL,13,Digital advertising,14-09-2022,21378.84,21378.84,4,S,,16-09-2022,REP,,SE.5444,2.02507E+17,ORG,C,,,,,09-07-2025 15:47
24,GOA VICTORY FUND,F3X,f,1899285,30,C00817122,,,,McShane LLC,,6950 Obannon Drive,Suite 100,Las Vegas,NV,89117,Velleco,,John,,,H2NH01270,Leavitt,,Karoline,,,H,NH,1,Digital advertising,30-09-2022,20870.1,20870.1,4,S,,30-09-2022,REP,,SE.5450,2.02507E+17,ORG,C,,,,,09-07-2025 15:47
24,GOA VICTORY FUND,F3X,f,1899285,32,C00817122,,,,Votorious LLC,,P.O. Box 998,,Princeton,WV,24740,Velleco,,John,,,H4AZ06045,Schweikert,,David,,,H,AZ,1,Robo calls,21-09-2022,3309.44,19809.44,4,S,,01-08-2022,REP,,SE.5725,2.02507E+17,ORG,C,,,,,09-07-2025 15:47
24,GOA VICTORY FUND,F3X,f,1899285,28,C00817122,,,,McShane LLC,,6950 Obannon Drive,Suite 100,Las Vegas,NV,89117,Velleco,,John,,,S2MO00544,Schmitt,,Eric,,,S,MO,,Digital advertising,22-09-2022,52750,152750,4,S,,23-09-2022,REP,,SE.5446,2.02507E+17,ORG,C,,,,,09-07-2025 15:47
24,GOA VICTORY FUND,F3X,f,1899285,22,C00817122,,,,McShane LLC,,6950 Obannon Drive,Suite 100,Las Vegas,NV,89117,Velleco,,John,,,H2NC05157,Hines,,Bo,,,H,NC,13,Digital advertising,14-09-2022,20486.3,20486.3,4,S,,16-09-2022,REP,,SE.5436,2.02507E+17,ORG,C,,,,,09-07-2025 15:47
24,GOA VICTORY FUND,F3X,f,1899285,21,C00817122,,,,McShane LLC,,6950 Obannon Drive,Suite 100,Las Vegas,NV,89117,Velleco,,John,,,S2AZ00372,Masters,,Blake,,,S,AZ,,Digital ads,08-09-2022,63999.99,263999.99,4,S,,09-09-2022,REP,,SE.5435,2.02507E+17,ORG,C,,,,,09-07-2025 15:47
24,GOA VICTORY FUND,F3X,f,1899285,18,C00817122,,,,"Audacy Operations, Inc.",,7255 So. Tenaya Way,Suite 100,Las Vegas,NV,89113,Velleco,,John,,,S2AZ00372,Masters,,Blake,,,S,AZ,,Radio and digital ads,01-09-2022,200000,200000,4,S,,01-09-2022,REP,,SE.5432,2.02507E+17,ORG,C,,,,,09-07-2025 15:47
24,GOA VICTORY FUND,F3X,f,1899285,17,C00817122,,,,"Audacy Operations, Inc.",,7255 So. Tenaya Way,Suite 100,Las Vegas,NV,89113,Velleco,,John,,,S2MO00544,Schmitt,,Eric,,,S,MO,,Radio and digital ads,01-09-2022,100000,100000,4,S,,01-09-2022,REP,,SE.5431,2.02507E+17,ORG,C,,,,,09-07-2025 15:47
24,GOA VICTORY FUND,F3X,f,1899285,14,C00817122,,,,"Audacy Operations, Inc.",,7255 So. Tenaya Way,Suite 100,Las Vegas,NV,89113,Velleco,,John,,,S2NC00505,Budd,,Ted,,,S,NC,,Radio and digital ads,01-09-2022,50000,50000,4,S,,01-09-2022,REP,,SE.5425,2.02507E+17,ORG,C,,,,,09-07-2025 15:47
24,GOA VICTORY FUND,F3X,f,1899285,31,C00817122,,,,Votorious LLC,,P.O. Box 998,,Princeton,WV,24740,Velleco,,John,,,S2NV00324,Laxalt,,Adam,,,S,NV,,Telephone calls,14-09-2022,2000,503609.03,4,S,,14-09-2022,REP,,SE.5447,2.02507E+17,ORG,C,,,,,09-07-2025 15:47
24,GOA VICTORY FUND,F3X,f,1899285,34,C00817122,,,,Votorious LLC,,P.O. Box 998,,Princeton,WV,24740,Velleco,,John,,,H0AZ01259,Gosar,Dr.,Paul,,,H,AZ,9,Robo calls,21-09-2022,19401.4,49401.4,4,S,,01-08-2022,REP,,SE.5727,2.02507E+17,ORG,C,,,,,09-07-2025 15:47
24,GOA VICTORY FUND,F3X,f,1899285,15,C00817122,,,,"Audacy Operations, Inc.",,7255 So. Tenaya Way,Suite 100,Las Vegas,NV,89113,Velleco,,John,,,S2GA00225,Walker,,Herschel,,,S,GA,,Radio and digital ads,01-09-2022,50000,50000,4,S,,01-09-2022,REP,,SE.5427,2.02507E+17,ORG,C,,,,,09-07-2025 15:47
